title,field
학교밖청소년 검정고시 대비 학습 멘토링멘토 ,0
Try Everything  전국민 창업오디션,0
  나눔봉사 해커톤,0
 천하,0
나만의 스토리를 세상에 선보이고 싶다면 스마일게이트 스토리  ,0
청소년 교육 프로그램 ,0
 전국 청년 아이디어톤 대회,0
창업진흥원 년 창업진흥원 창업수기 ,0
삼성 갤럭시 탭 필기장인을 찾습니다,0
방송대의 새로운 이름을 지어주세요총 상금 2200만 원,0
 전북 메이커톤 경진대회,0
비수도권 지역 교내연합 동아리 활동비 300만원 ,0
 달서 전국대학생 발명아이디어 콘테스트,0
 학생 창업유망팀 300 공고_외국인 유학생이 대표인 창업팀,0
광주공유센터년 생활 속 공유아이디어 ,0
 노근리 인권평화 백일장 ,1
 서대문 형무소 글로벌 문화 기획자 ,1
 여행지 길 위의 인문학 인문 탐정단  ,1
BYFY 의회 회원  공고,1
UN산업개발기구 통역 자원봉사자,1
경기도사회적경제원 년 청년 소셜 에디터Salty 솔티,1
경장편소설상 신인문학상 ,1
공감 편지 쓰기 봉사활동,1
광명전국신인문학상,1
김유정 신인문학상,1
독서골든벨  봉사자 ,1
드림디포 dd,1
세계무형문화유산포럼,1
열린한국어교실 동아리 조이누리 ,1
우리말가꿈이,1
인문학 여행기,1
인스타그램하자센터 청소년 크리에이터캠프,1
전쟁기념사업회 ,1
최치원 신인문학상,1
캠퍼스 내 봉사단체 신규이사,1
코리아 인도네시아 한국어학당 문화인턴,1
한국문화원연합회 문화품앗이,1
한국장애인재단 낭독봉사단 드림보이스,1
춘천문화재단 지역문화전문인력양성 맞춤과정 참여자 ,1
서해5도 해양문화안보 탐방단을  2기3기4기 탐방,1
한국학중앙연구원 제6기 KSTORY 기자단 ,1
경동시장  꼬집스 12기 단원 ,1
언더스탠드에비뉴 ESG 크리에이터,1
 다국어 번역지원단을  후원 서울시 81,1
융합문명 아카데미 3기   ,1
한국연구재단 년 제5기 인문 아카데미 자 ,1
문화품앗이  10기 ,1
손편지 답장을 함께 전해주실 오프라인 온기우체부분들을  ,1
 조선왕릉문화제 조선왕릉원정대 ,1
 KDIA 한국여행 초청 재능기부자원봉사자 참여자 ,1
금호문화재단 금호아트홀  스타카토 8기 ,1
성프란복지관 모바일 문화지원사업 언어인지향상프로그램개별 학습지도,1
년 모두가 도시농부   공고,1
국제교류 년 서울방콕 문화교류대장정 통역 봉사자 ,1
년 하남문화재단 SNS 미디어 크리에이터 공고,1
 경산청년 시민 공론장 참여자 ,1
공감 편지 쓰기 봉사활동에 참여하실 따뜻한 분들을 온라인,1
 한국출판협동조합 신간도서 홍보   3기 ,1
이니스프리  에디터 1기 ,1
링티  링티 엠버서더 3기  628,1
년  한글 활용 디자인 ,1
 김유정 신인문학상 단편소설시동화 작품 공모,1
청년 이회영 문화 프로젝트,1
서울시 비만예방 브랜드 건강별곡사자성어 글짓기 ,1
 교보생명 광화문글판  디자인 ,1
년 문화관광 데이터 분석대회,1
 국립중앙박물관 청년세대 아이디어 ,1
년 국립서울현충원 UCC ,1
 한지문화상품개발 아이디어 ,1
 인차이나포럼 청년 아이디어 논문 ,1
 독서동아리 수기 ,1
공무원연금공단 평생학습 브랜드명 및 상징 개발 ,1
 김유정 푸른문학상 소설작품 공모,1
년  여성사 내가 만드는 여성사전시관 캐릭터,1
 전통문화 전문인력양성 전통가온 러너과정 교육생 공모,1
 미래한국 아이디어 ,1
 한복문화주간 대국민 슬로건 ,1
 K스토리 ,1
동대문문화재단  동대문구 골목스토리  연장 공,1
 Korea TimesETS 학생 리포터 대회,1
지역성 강화 캠페인 활용 캐치프레이즈 ,1
  겸재 내일의 작가 공모,1
 대한민국 편지쓰기 ,1
살고싶은 농촌마을 우리함께 만들어요  대학생이 간다,1
 인능인문학 추천도서 독후감 경연대회,1
 인능인문학 대학생 학술논문 경연대회,1
한글원천아이디어콘텐츠연장,1
 문화데이터 활용 경진대회,1
 KB창작동화제 작품 ,1
K컬처로 놀자_주한 외국인 ,1
정전 70주년 보훈 ,1
널리 가족을 이롭게 하자 가족 정책 제안스피치 ,1
충남정보문화산업진흥원 대학생 창업 아이디어 피칭대회 자  공고,1
스마일게이트 희망스튜디오 스마일게이트 창의창작 멘토링 아이디어 ,1
KTG복지재단 따뜻한 이야기 나의 나눔 실천 이야기 수기 ,1
 동작구민 주민자치 30 자유공모,1
 교보손글씨대회,1
전라북도 귀농귀촌 유튜브 영상,1
  협성독서왕 독후감 ,1
서울시  서울미래유산 스티커 ,1
 전국 한중韓中 시문 낭송대회,1
연합뉴스수림문화재단  수림문학상 작품 공모,1
 대한민국 스토리 공모대전대한민국 콘텐츠 대상스토리 부문,1
 강릉단오제 영산홍챌린지,1
교보문고  교보문고 스토리대상,1
동아대학교 공자아카데미  대학생중국어말하기대회,1
  양성평등 콘텐츠 대국민 아이디어  접수기간 연장,2
 ADHA  우크라이나 녹색재건 특별 패널세션 초대,2
 국제콘퍼런스 글로벌청년 기후희망 챌린지  청년 ,2
 학교안전 아이디어 ,2
 해양금융 해운정보 혁신 국민 아이디어 경진대회,2
ESGKOICA 청년중기봉사단주제Social 단원 안내,2
KOICA INNOPORT 글로벌 사회혁신 해커톤 이노캠프  ,2
국립항공박물관 교육  ,2
굿네이버스 서울남부지부 에서 인형극 팀을 ,2
굿네이버스 엔봉즈NBZ,2
굿네이버스 중등 국제교류 프로그램 퍼실리테이터 ,2
년 도전작은연구,2
년 청소년안전 홍보단 ,2
능실종합사회복지관 일구데이 활동단,2
 상담  청상,2
 연합기획봉사동아리 해밀에서 ,2
로컬크리에이터 Deep View,2
미디어 온라인 홍보단,2
미래세대 사회적경제 체험 캠프,2
민주시민교육,2
방배유스센터 현직 아나운서 미디어진로 특강  ,2
방송PD 연합뉴스경제TV 뉴미디어 채널 연뉴타운 제작진 ,2
사회적경제 인식 확산을 위한 가치다다,2
서울서부범죄피해자지원센터 청년위원 ,2
서울시 금천구 정서지원 멘토링 프로그램 두빛나래  멘토,2
세이브더칠드런 퍼실리테이터,2
스스로해결단 챌린지 및 해커톤,2
시사북스 기자단,2
외교부 군축비확산 청년사절단,2
이노션 SOSSocial Problem Solver ,2
장애가정아동 성장멘토링 장애인복지관,2
조선일보 더나은미래 풀씨아카데미,2
청년의 날 해외청년퀴즈대회 기획단,2
청소년근로권익센터  청년청소년 노동인권,2
카카오뱅크 콘텐츠에디터 청년선호기업 재직자,2
푸른나무재단 위드위센터,2
하나금융 씨드스쿨,2
마두청소년수련관 다문화가족 프로그램 운영 보조  봉사자 ,2
중소벤처기업부 2차 규제뽀개기 국민판정단 ,2
은평구립일시청소년쉼터 거리상담 자원활동가 숨결 모,2
제23기 외교부 공식 서포터스 모파랑 ,2
 한아세안 관광세미나,2
관악구장애인가족지원센터장애학생방학프로그램 함께 오락실자원봉사자,2
  법정단위 홍보  2기 ,2
 경기도의회  ,2
포스코인터내셔널 재직자와 함께하는 서초오랑 청년선호기업 재직자 멘토링,2
글로벌 청소년 온라인 대화의 광장,2
푸른나무재단 위드위센터  3기 ,2
초록우산어린이재단 초록우산마케터즈3기  79,2
제 10차 한일중  외교캠프 자 ,2
서울시 노원구 공릉종합사회복지관  자원개발단 1기 추가,2
년 하반기 십시일밥 신입 사무국원 ,2
고양시문촌7종합사회복지관 웹툰 멘토링  봉사자 ,2
한국외교부 일본외무성  한일교류 프로그램 대표단 선,2
제9차 한일 주니어포럼 대학원생 자  안내,2
강서구학교밖청소년지원센터 검정고시 멘토링 추가,2
중소벤처기업부 2차 규제뽀개기 국민판정단 ,2
성프란복지관 장애아동청소년 방학지원 계절학교 세상에서 놀자 봉사자,2
국무조정실 년 청정 2기 ,2
불법 피라미드 근절하는 그린블루 챌린저스  ,2
한국보육진흥원  기자단 ,2
 음성군 자원봉사 이그나이트대회 청중평가단 ,2
장애인식개선활동 WAC We All Can ,2
NGO단체 희망조약돌   희망프렌즈2기 ,2
초록우산 어린이재단 해외결연서비스 행정업무지원 반디봉사자 ,2
한국항로표지기술원  국제항로표지포럼 참석자 ,2
한 달의 한 번 공론장 3회차,2
년 쌀 정책 아이디어 ,2
청소년 마약류 접근 차단 영상 콘텐츠 ,2
 소상공인 희망모아 ,2
 부천 청년정책 해커톤,2
 국민 생활편의 표준화 아이디어 818,2
스마트문화도시 성동 아이디어 ,2
 공헌 파트너스데이 사회공헌 사업공모,2
 통일법정책연구,2
년도 언론중재위원회 모의조정대회 자 공고,2
년 양주시 청년정책 해커톤 대회,2
 이브 프시케 그리고  청소년 참여예산제 청소년 클라쓰,2
안전보건공단  뉴스핌 안전문화 쇼츠 영화제 84일,2
 장애인 인식개선 ,2
 정부광고 크리에이티브 페스티벌,2
대홍기획  DCA  광고대상712,2
 HS애드 Young Creators Competition,2
기간 연장경남청년 관광창업 사관학교 프로그램 및 ,2
도박예방 DODREAM815,2
 강원특별자치도 청소년정책  개최 안내,2
부동산 소비자 보호와 지속가능한 부동산산업 발전을 위한 우수논문 ,2
전국 대학생 관세행정 홍보영상 ,2
 국민참여 정책소통 ,2
년 외교 공공데이터 활용 경진대회,2
행정안전부 년 국민비서 홍보 콘텐츠 ,2
 청년 나만의 기차여행을 보여주SHOW 관광콘텐츠 ,2
 부산시민 사회서비스사업 ,2
 대한민국 관광사진,2
 천안시 청년커뮤니티 지원사업 공모,2
우리금융미래재단 사회공헌 사업 아이디어 ,2
서울시 내가 청년 서울시장이다 시즌3  오픈 73,2
청년이 제안하는 젠더갈등 해소방안 공모,2
 국민행복서비스 발굴창업 경진대회,2
년 강서구 양성평등 콘텐츠 ,2
야놀자야놀자리서치 년 트래블 이노베이션 아이디어 ,2
초록우산 어린이재단 연구지 동광 논문 안내,2
남원 스마트관광도시 숏폼 영상 ,2
  양성평등 콘텐츠 대국민 아이디어 ,2
년 국민안전 발명챌린지 대국민 공고,2
 대한민국 관광 기념품 부문,2
신중년 일자리창출 아이디어 공모,2
청년정책 아이디어 ,2
저출생 극복을 위한 청년 아이디어콘텐츠  내 아이Dear,2
년 연구실 안전 대국민 ,2
 남북교류협력 창업아이디어 경진대회,2
  올해의 양성평등문화상 후보자 공모,2
 군민행복 상상 프로젝트 아이디어 ,2
 물류산업진흥재단 논문 ,2
 BStartup 캠퍼스 리빙랩 지역문제 해결 아이디어 ,2
 장애인구강건강 인식개선 캠페인 ,2
 밀알복지재단 스토리텔링  일상 속의 장애인,2
 국회 솔버톤 대회  청년이 한 당黨 우리가 한당,2
한국인터넷진흥원  국민참여예산 아이디어 ,2
용산구자원봉사센터  자원봉사 우수프로그램 공모,2
서울특별시 혼자라도 씽글벙글 서울 1인가구 정책 홍보 영상 ,2
문화체육관광부  청년 관광  트래블리그,2
 의성군 정책제안 아이디어톤,2
 한부모가족 인식개선 그림일기  우리가家 가족,2
게임정책 연구 활성화를 위한 논문 ,2
외교부  유라시아 청년 미래 개척단  해외 사업아이템 공모,2
 의약품 안전관리 홍보콘텐츠 ,2
년  전국Y톤아이디어경진대회,2
 미래내일 일경험 사업청년주도 NextGen 프로젝트 참여,2
경상북도자치경찰위원회 경북형 자치경찰 정책아이디어 ,2
교육부 년 사회정책 아이디어 ,2
산업통상자원부  무역안보의날 ,2
 남북산림협력 연구논문 공모,2
통일부장관상   통일모의국무회의 경연대회,2
년 장애인재활상담사 유튜브 홍보 경진대회,2
년 장애인 분야 해커톤 대회 장애 플러스 기술,2
CJ대한통운  물류혁신 아이디어 PT대회,2
년 김해청정공장 청년정책 ,2
안동을 선물하다  안동 여행기념품 ,2
년  빛공해 ,2
년 청년 도박문 팀 ,2
 성남시 저출산 극복 콘텐츠 ,2
약자 혁신기술 개발지원을 위한 문제발굴 시민 공모,2
국립재활원 년 이동보조기기 안전사고 예방 웹툰 ,2
강원 콘텐츠 업 공모대,2
인구보건복지협회 년  전국대학생 인구토론대회,2
교육부  교육 공공데이터 분석활용대회 창업아이디어 분야,2
 카카오 제주임팩트챌린지 3기 52,2
소방청  대한민국 안전대상,2
 관광지식 카드뉴스  412515,2
공공데이터 기반 청소년상담복지사업 국민 아이디어  430,2
 푸코와 함께하는 학교폭력 및 사이버폭력예방 ,2
 인천광역시 지역혁신 아이디어 경진대회,2
 대학생 건강정보 디자인단,2
  청년의 날 인사관리팀 ,3
 강서 청소년 샌드박스지원단 ,3
 기업가정신 콘텐츠 ,3
 로컬 비즈니스 ESG 아이디어톤,3
 아데코 코리아 한 달  아코르 ,3
 해양금융 해운정보 혁신 국민 아이디어 경진대회,3
CEO전문 언론사 ,3
CFA 기업 투자분석 발표대회,3
LG유플러스 채용 캐릭터 네이밍 ,3
SOPT MIND23 컨퍼런스에 초대 드립니다,3
경기관광공사 경기도 노포 브랜드 이름  캐릭터  개별,3
과일 전문 브랜드 네이밍 아이디어 ,3
광주 동구 별별동구 사회적 경제 SNS,3
금융언론 연합인포맥스 프로젝트,3
기업경영 체험스쿨,3
년 안산시 관광기념품 ,3
롯데웰푸드  마케터 히든 ,3
삼성화재  마케팅 해커톤,3
조선비즈 ,3
청년 제테크 특강,3
청년의 날 기획홍보단,3
팀 화이트 브랜드로 세상을 바꾸자,3
한국문화관광연구원 KCTI 기자단,3
현대프리미엄아울렛 대전점 너랑 나랑 노랑 SNS  ,3
 ESG ON 세미나녹색금융,3
Tesla Korea  온라인 커리어톡 안내,3
 OVAL FORUM  경영 트렌드 금융위기를 기회로,3
 JA Korea 제 31기 경제교육봉사단 ,3
DB  기업경영 체험스쿨 자  오프라인,3
KB경제금융교육봉사 폴라리스 21기 ,3
SV Hub  크리에이터 2기  공고,3
동대문엽기떡볶이 미스터리 쇼퍼 엽떡크루 4기 ,3
제39기 신한은행  홍보대사 ,3
IBK기업은행IBK행복나눔재단 년 하반기 IBK멘토링 멘토,3
DB   온라인 기업경영 체험스쿨 자 ,3
DB   온라인 기업경영 체험스쿨 자 ,3
마이리얼트립   ,3
버터얌  마케팅 기획단 4기   콘텐츠 에디터편,3
 비씨카드 신사업 아이디어 ,3
노량진수산물도매시장 발전방안 아이디어 ,3
 물류 스타트업 경진대회,3
년 강원랜드 대국민 아이디어 공모,3
 한국경,3
글로벌새마을리더양성 캠프 및 경진대회,3
 소셜벤처 경연 대회,3
 아산 기업가정신 리뷰AER 대학생 사례분석 컴피티션,3
 핀테크 포용금융 핵셀러레이터  안내,3
 오티콘챌린지,3
 중소벤처기업 정책 아이디어 ,3
농식품 투자정보 플랫폼 홈페이지 명칭 ,3
 IBK기업은행 학술논문 연구지원사업 자 ,3
년 청년 국가재정 마스터,3
신용보증기금  신보혁신 국민생각공모,3
한국공항공사 공항 혁신기술 아이디어 ,3
기간연장  GKL 국민 혁신 아이디어 ,3
함양군 고향사랑기부제 기금사업 아이디어 ,3
 아시아태평양 청년 MICE 아이디어 ,3
한국자산관리공사 캠코 대국민 서비스 향상을 위한 IDEA 공모,3
한돈자조금관리위원회 한돈자조금 ESG 일러스트 및 표어 ,3
서울경제진흥원 새싹톤SeSACTHON ,3
 앰플엔 답이 있다 앰플엔 브랜딩 콘텐츠 ,3
한국푸드시스템 신선육 및 가공육 사업 전략,3
홍익메이커랜드  홍익메이커랜드 창작 아이디어 ,3
hy  hy 프레딧 대학생 마케팅 ,3
한국면세점협회 한국 면세산업 발전을 위한 정책 아이디어 ,3
진에어  진에어 마케팅 ,3
BNK경남은행과 함께하는  경남 청년공감스토리 ,3
건대 캠퍼스타운 K이노스 창업 경진대회 입주기업 ,3
 관세평가 및 품목분류 연구논문 판례평석 공모,3
  DB GAPS 투자대회,3
년  공군 창의혁신 아이디어 공모공군해커톤,3
 KB 솔버톤 대회  KB를 경영하라,3
년 캠퍼스타운 ICULTUREDU 창업경진대회 공고,3
모바일 지역사랑상품권 chak 운영 아이디어 공모,3
년 부동산서비스산업 창업경진대회,3
  철도 인능 경진대회,4
 SFC YOUTH CREW  ,4
 경기도 평화체험 융복합 콘텐츠 ,4
 다기관 연계 메이커스페이스 경진대회,4
 에너지환경 탐구대회,4
 오아시스 해커톤 자 ,4
 전력시장 활성화 아이디어 발굴 경진대회 ,4
 통신망 안정성 확보를 위한 인능 해커톤,4
 한국수력원자력 혁신 ALLIN 대국민 아이디어 공모,4
 한국지능로봇경진대회 자 ,4
9th DX Forum 데이터 기반의 ESG 디지털 전환,4
AI Genius ,4
AI 허브 개방데이터 아이디어 경진대회,4
ICT멘토링 프로젝트,4
KSPO 경륜 DATA 분석 경진대회,4
SW마에스트로 ,4
SW창의캠프 ,4
게임 커뮤니티 ZEAT의 Zcrew,4
게임업계 취업 토크 콘서트 Hello Game World,4
경기도경제과학진흥원 이공계전문기술,4
과학관 교육지원단,4
과학기술 크리에이터,4
광주청년주간 챗GPT 질문대회,4
년 경기도 업사이클플라자 메이커톤 자 ,4
년 동대문구 공공데이터 활용 정책 아이디어 ,4
년 통일 데이터 활용 아이디어 ,4
년 파주시 도시재생 아이디어 ,4
디지털리터러시 교육 올키즈시티즌 투게더 멘토,4
리테일테크 코딩교실 SSG Recoder,4
메타버스 서울 시민,4
사이드프로젝트  사이드임팩트 ,4
사피엔스40,4
수도권매립지관리공사 그린나래 멘토단 ,4
양자컴퓨팅,4
오아시스 해커톤 자 ,4
자율주행 인능 알고리즘 개발 챌린지,4
자율주행 카미더비,4
청년 메타버스 콘텐츠 개발 경진대회,4
한국 디스플레이 산업 전시회 Kdisplay ,4
한국산업기술진흥협회KOTIYA 제1기홍보대사,4
부산글로벌게임센터  7기 모여봐요 BGM ,4
국토교통부 제2기 2030자문단청년정책위원단,4
Deloitte 웨비나 안내 우주로 여행을 떠나봅시다,4
제14기 뇌전증 인식개선  We are Epilizer ,4
년 KAIA  제5기 ,4
한국수력원자력 K에너지  ,4
백준 카카오 최정상 개발자들의 하반기 취업 전략 무료 특강 DEV,4
 경북 ICT이노베이션스퀘어 창업특강  신청,4
 군축비확산 청년사절단 ,4
AMD x HP 파빌리온 노트북 ,4
루나 신제품 개발  루돌프 3기 ,4
마이 리틀 콘텐츠 2회 남다른 프로의 작업 노트 게임원화가 인슈,4
삼성엔지니어링 23년도 하반기  멘토 ,4
LG사이언스파크 SW현직자와의 직무상담 커피챗 참여 학생 ,4
주더블미 메타버스  2기 ,4
년 디지털리터러시 교육 올키즈시티즌 투게더 멘토 ,4
현대자동차그룹 nano TECH DAY  추가  중,4
 로보월드  ,4
제5기 충북 블록체인  ,4
에너지 공기업 파헤치기 서초오랑 재직자 멘토링 3탄 한국지역난방공사,4
스마일게이트 Hope Creator 4기 ,4
소프트웨어야 놀자 새싹 캠프  멘토동아리 0710,4
년 전기에너지자원 청년기자단 안내,4
완료한아세안 ICT 융합빌리지 기자단  공고,4
서울시민대학 미래리터러시 역량 강화 시민 미래연구단 ,4
년 디지털리터러시 교육 올키즈시티즌 투게더 멘토 ,4
한국산업단지공단   G밸리 창업경진대회 82,4
DX Sprint 2주 데이터 활용 서비스앱웹 개발 해커톤,4
 DATAAI 분석 경진대회,4
년 동대문구 공공데이터 활용 정책 아이디어 ,4
 관광분야 GEN AI 해커톤 참여자 ,4
년 KHIDI 공공데이터 활용 아이디어 ,4
K디지털 챌린지  마이데이터 아이디어 ,4
 AI 대학원 챌린지 with kt 믿음,4
 데이터기반 리스크관리 경진대회,4
년고려아연 KZ Wave ,4
부산 최대의데이터해커톤 BiG Data Hackathon75정오,4
 우리은행 모의해킹 경진대회,4
년 동남권 가명정보 활용 아이디어 경진대회,4
 백운광장 도시재생 아이디어 경진대회,4
 춘천시 빅데이터 분석 경진대회,4
무한상상 미래 무기체계 아이디어 ,4
9회 삼성전자 대학생 프로그래밍 경진대회 SCPC ,4
 게임제너레이션 게임비평,4
 LH 국토개발기술대전,4
한국교통안전공단 개방형 혁신 대국민 아이디어 공모,4
 LG이노텍 대학생 유튜브 숏폼 광고 ,4
년 새만금 공공빅데이터 활용 ,4
 NTIS 정보활용 경진대회,4
컨설팅이 제공되는클라우드 인프라 사업,4
 ICT Bu부산Va바꾸기 Challenge,4
위성영상을 활용한 정유탱크컨테이너 탐지 AI 경진대회,4
 공개SW 개발자대회,4
년 승강기 안전 ,4
ReUp Cycle Thon GREEN TECH MAKER,4
하나 디지털 파워 온 프로젝트 2기,4
 대전광역시 공공데이터 활용 경진대회,4
FSI Data Challenge ,4
 핀테크 아이디어 ,4
 중소기업 통계데이터 정책아이디어 ,4
CJ대한통운 미래기술 챌린지 ,4
대전시대덕특구  과학기술로 해결하는 지역문제,4
년 캠퍼스 특허 유니버시아드CPU,4
년 LG유플러스 현대모비스 오비고 차량용 앱서비스 ,4
해운대구 빅데이터 아이디어 ,4
 생성 AI 활용 창작 그림동화 ,4
 미래 자동차산업 아이디어 ,4
년 농림축산식품 공공빅데이터 활용 창업경진대회,4
년 kium 의료인능경진대회,4
한국인터넷진흥원 년 위치정보 우수 비즈니스 모델 발굴 프로젝트,4
 RecurDyn 리커다인 Simulation 경진대회,4
 접수 이벤트 채용특전  교원그룹 AI 챌린지 ,4
 서울 열린데이터광장 공공데이터 활용 모바일 앱웹 경진대회,4
 국가승인통계 활용 디지털콘텐츠 ,4
 현대자동차 연구개발본부 AI 경진대회,4
 춘천 공공데이터 활용 아이디어  526,4
삼성 갤럭시너지 워치 버즈 꿀팁 ,4
충청남도 등 충청권 대학원생 사이버위협 시나리오 ,4
한국농업기술진흥원 년 KoAT 대국민 혁신아이디어 ,4
한국이미지커뮤니케이션연구원 CCF  챗GPT 질문 ,4
정보통신산업진흥원  ICT 비즈니스 모델 아이디어 경진대회,4
한국전기안전공사  전기안전 정책 경진대회,4
울산창조경제혁신센터  HD현대중공업 기술,4
 K해커톤,4
개인정보보호위원회  개인정보 위험 대응 ,4
경기도 년 GenAI공공데이터 창업경진대회,4
 임베디드SW경진대회,4
년 국토교통 데이터 활용 경진대회,4
MATLAB 대학생 AI 경진대회 ,4
영천시   영천시 공공데이터 활용 경진대회,4
춘천시 년 춘천시 공공 데이터활용 아이디어 ,4
여성가족부 년 개방데이터 융복합 활용 창업경진대회,4
청약홈 마이데이터 서비스 네이밍  ,4
SKT Fellowship 5기 ,4
년 성남시 공공데이터 활용ㆍ분석 아이디어 ,4
Apple과 함께하는 Mac 스토리챌린지,4
 현대오토에버 배리어프리 앱 개발 콘테스트,4
혁신공공서비스 발굴을 위한 서울시 생성 AI 해커톤,4
한국공작기계산업협회  대학생 공작기계 창의 아이디어 ,4
충청남도 올담 데이터 활용 시각화 경진대회,4
미래산업 인재육성 컨퍼런스  Valueup,4
  연구개발특구 AI SPARK 챌린지,4
K디지털챌린지 AI 스타트업 창업 경진대회,4
 산업통상자원부 공공데이터 활용 비즈니스 아이디어 ,4
년 보건의료빅데이터 활용 창업경진대회,4
 부산테크노파크 ICT스마트헬스케어 기반 스포츠산업 아이디어 경,4
Web3 글로벌 해커톤 웹3 프로덕트 빌딩에 관심이 있으신가요 ,4
안전보건공단  안전 신기술 ,4
한국ESG연구소 인물 데이터분석 아이디어 ,4
과학기술정보통신부  SW개발  피우다프로젝트,4
제로베이스 앱 서비스 아이디어 챌린지,4
YBM우리에프아이에스  Woori 코딩페스티벌,4
과학기술정보통신부  우수과학문화상품 아이디어 ,4
년  ICT 장애인 보조공학기기 ,4
DRB SPACE CHALLENGE,4
게임 플랫폼 콘텐츠 아이디어 _GNovation,4
KIMST 해양수산과학기술,5
WATERSTONE 그린리더,5
경기도경제과학진흥원 ,5
과학 크리에이터와 함께하는 사이언스 콜라주,5
과학기술단체총연합회 KOFST,5
과학기술정보통신부,5
과학기술정보통신부 연구안전 ,5
과학기술정책연구,5
과학센터 사이언스,5
과학센터 우리동테 과학클럽,5
과학자소통포럼 탄소중립달성을위한 원자력의 역할,5
국립중앙과학관,5
국립해양과학관 해바라기 기자단,5
국립환경과학원,5
기후활동가,5
년 제1기 탄소중립 국민참여단 ,5
무등산국립공원동부사무소 훼손지 복원 시민과학자,5
사이언스 커뮤니케이터 과학다식,5
생명과학부 BIO,5
서울시립과학관,5
서울시립과학관 에듀,5
세계과학문화포럼,5
수협노량진수산,5
아미과학교실 ,5
알려 바이오 온라인 과학기자단 ,5
오픈 심포지엄 과학편,5
유한킴벌리 그린캠프,5
창의과학놀이터,5
한국과총 한민족청년과학도포럼,5
한국과학기술정보연구원 NTIS,5
한국여성과학기술단체총연합회,5
한국해양진흥공사  기자단 해지니,5
해양과학빅데이터,5
해양수산부동아일보 SEA FARM SHOW 양식수,5
에코프로  봉사단에코브리지 4기 ,5
2050 탄소중립녹색성장 위원회 넷제로 프렌즈 ,5
